=== Suite started at 2021-12-10 16:42:25
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          badlop#ct-logs_3#0dc89c0
=hosts         badlop#ct-logs_3#0dc89c0 
=emulator_vsn  12.1.5
=emulator      beam
=otp_release   24
=started       2021-12-10 16:42:25
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2021-12-10 16:42:25
=ended         2021-12-10 16:42:26
=result        ok
=elapsed       1.406865
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2021-12-10 16:42:26
=ended         2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** SKIPPED {ejabberd_SUITE,init_per_group} ***
=== 
=case          ejabberd_SUITE:test_auth
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #1 {ejabberd_SUITE,test_auth} ***
=== 
=case          ejabberd_SUITE:test_auth_fail
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #2 {ejabberd_SUITE,test_auth_fail} ***
=== 
=case          ejabberd_SUITE:vcard_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #3 {ejabberd_SUITE,vcard_get} ***
=== 
=case          ejabberd_SUITE:ldap_shared_roster_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #4 {ejabberd_SUITE,ldap_shared_roster_get} ***
=== 
=case          ejabberd_SUITE:end_per_group
=group_props   [{name,"ldap"}]
=started       2021-12-10 16:42:26
=result        skipped: {disabled_backend,ldap}
=== *** Skipping {ejabberd_SUITE,end_per_group} ***
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.994.html
=group_props   [{name,no_db},sequence]
=started       2021-12-10 16:42:26
=ended         2021-12-10 16:42:26
=result        ok
=elapsed       5.79e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1010.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 16:42:26
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1026.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.150691
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1042.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.131541
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1251.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.171793
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1058.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.129129
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1267.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.184875
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1283.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.158622
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1299.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.13063
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1315.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.186293
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.1331.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.233168
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.1347.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.050826
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1363.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.005212
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.1379.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.002119
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1395.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.006536
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1074.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.006974
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1266.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.011935
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1090.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.104705
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1106.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.105204
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1122.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.101958
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1138.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.156423
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1154.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.104087
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1170.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.102677
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1186.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.156104
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1202.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.154248
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1218.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:27
=result        ok
=elapsed       0.21899
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1234.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.139202
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1250.html
=started       2021-12-10 16:42:27
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.152356
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       3.0e-6
=group_time    1.434s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1874.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.021117
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.101738
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:28
=result        ok
=elapsed       0.176166
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2021-12-10 16:42:28
=ended         2021-12-10 16:42:29
=result        ok
=elapsed       0.167135
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2021-12-10 16:42:29
=ended         2021-12-10 16:42:29
=result        ok
=elapsed       0.133552
