=== Suite started at 2021-12-10 00:23:17
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          ctlogs
=hosts         ctlogs 
=emulator_vsn  12.1.5
=emulator      beam
=otp_release   24
=started       2021-12-10 00:23:17
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2021-12-10 00:23:17
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       1.065416
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** SKIPPED {ejabberd_SUITE,init_per_group} ***
=== 
=case          ejabberd_SUITE:test_auth
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #1 {ejabberd_SUITE,test_auth} ***
=== 
=case          ejabberd_SUITE:test_auth_fail
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #2 {ejabberd_SUITE,test_auth_fail} ***
=== 
=case          ejabberd_SUITE:vcard_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #3 {ejabberd_SUITE,vcard_get} ***
=== 
=case          ejabberd_SUITE:ldap_shared_roster_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #4 {ejabberd_SUITE,ldap_shared_roster_get} ***
=== 
=case          ejabberd_SUITE:end_per_group
=group_props   [{name,"ldap"}]
=started       2021-12-10 00:23:19
=result        skipped: {disabled_backend,ldap}
=== *** Skipping {ejabberd_SUITE,end_per_group} ***
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1042.html
=group_props   [{name,no_db},sequence]
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       4.19e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1058.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.1106.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.116181
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.1090.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.057109
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.1074.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.181928
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.1122.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.092188
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.1138.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.089946
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.1154.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.180815
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.1170.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.090878
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.1186.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.187903
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.1202.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.2086
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.1218.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       5.53e-4
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1234.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:19
=result        ok
=elapsed       0.0015
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.1250.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       5.25e-4
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1266.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.010703
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1282.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.007796
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1298.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.004037
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1314.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.105995
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1330.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.101418
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1346.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.102312
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1362.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.16979
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1203.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.14355
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1219.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.103387
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1235.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.12789
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1251.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.21444
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1267.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.170298
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1283.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.134703
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1299.html
=started       2021-12-10 00:23:19
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.159622
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 00:23:20
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       3.0e-6
=group_time    1.429s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1667.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 00:23:20
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2021-12-10 00:23:20
=ended         2021-12-10 00:23:20
=result        ok
=elapsed       0.018875
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2021-12-10 00:23:20
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.102406
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.24566
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.177697
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.165459
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1843.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       2.0e-6
=group_time    0.914s
=case          ejabberd_SUITE:auth_external
=logfile       ejabberd_suite.auth_external.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.006253
=case          ejabberd_SUITE:auth_external_no_jid
=logfile       ejabberd_suite.auth_external_no_jid.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
=result        ok
=elapsed       0.005084
=case          ejabberd_SUITE:auth_external_no_user
=logfile       ejabberd_suite.auth_external_no_user.html
=started       2021-12-10 00:23:21
=ended         2021-12-10 00:23:21
