=== Suite started at 2021-12-10 20:22:12
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          badlop#ct-logs_3#ec0855b
=hosts         badlop#ct-logs_3#ec0855b 
=emulator_vsn  12.1.5
=emulator      beam
=otp_release   24
=started       2021-12-10 20:22:12
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2021-12-10 20:22:13
=ended         2021-12-10 20:22:14
=result        ok
=elapsed       1.260706
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** SKIPPED {ejabberd_SUITE,init_per_group} ***
=== 
=case          ejabberd_SUITE:test_auth
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #1 {ejabberd_SUITE,test_auth} ***
=== 
=case          ejabberd_SUITE:test_auth_fail
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #2 {ejabberd_SUITE,test_auth_fail} ***
=== 
=case          ejabberd_SUITE:vcard_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #3 {ejabberd_SUITE,vcard_get} ***
=== 
=case          ejabberd_SUITE:ldap_shared_roster_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #4 {ejabberd_SUITE,ldap_shared_roster_get} ***
=== 
=case          ejabberd_SUITE:end_per_group
=group_props   [{name,"ldap"}]
=started       2021-12-10 20:22:14
=result        skipped: {disabled_backend,ldap}
=== *** Skipping {ejabberd_SUITE,end_per_group} ***
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1410.html
=group_props   [{name,no_db},sequence]
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:14
=result        ok
=elapsed       8.17e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.835.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:14
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.851.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.304653
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.867.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.283447
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.883.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.363306
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.899.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.106764
=case          ejabberd_SUITE:test_connect_bad_ns_stream
=logfile       ejabberd_suite.test_connect_bad_ns_stream.915.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.2767
=case          ejabberd_SUITE:test_connect_bad_lang
=logfile       ejabberd_suite.test_connect_bad_lang.931.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.183287
=case          ejabberd_SUITE:test_connect_bad_to
=logfile       ejabberd_suite.test_connect_bad_to.947.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.103986
=case          ejabberd_SUITE:test_connect_missing_to
=logfile       ejabberd_suite.test_connect_missing_to.963.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.182249
=case          ejabberd_SUITE:test_connect
=logfile       ejabberd_suite.test_connect.979.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.317337
=case          ejabberd_SUITE:unauthenticated_iq
=logfile       ejabberd_suite.unauthenticated_iq.995.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       9.46e-4
=case          ejabberd_SUITE:unauthenticated_message
=logfile       ejabberd_suite.unauthenticated_message.1011.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.001757
=case          ejabberd_SUITE:unauthenticated_presence
=logfile       ejabberd_suite.unauthenticated_presence.1426.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       8.06e-4
=case          ejabberd_SUITE:test_starttls
=logfile       ejabberd_suite.test_starttls.1442.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.009437
=case          ejabberd_SUITE:test_auth
=logfile       ejabberd_suite.test_auth.1458.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.133186
=case          ejabberd_SUITE:test_zlib
=logfile       ejabberd_suite.test_zlib.1474.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.002199
=case          ejabberd_SUITE:test_bind
=logfile       ejabberd_suite.test_bind.1506.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.104257
=case          ejabberd_SUITE:test_open_session
=logfile       ejabberd_suite.test_open_session.1490.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.103024
=case          ejabberd_SUITE:codec_failure
=logfile       ejabberd_suite.codec_failure.1522.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.107711
=case          ejabberd_SUITE:unsupported_query
=logfile       ejabberd_suite.unsupported_query.1538.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.158239
=case          ejabberd_SUITE:bad_nonza
=logfile       ejabberd_suite.bad_nonza.1554.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.107046
=case          ejabberd_SUITE:invalid_from
=logfile       ejabberd_suite.invalid_from.1027.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.104299
=case          ejabberd_SUITE:ping
=logfile       ejabberd_suite.ping.1043.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.143795
=case          ejabberd_SUITE:version
=logfile       ejabberd_suite.version.1059.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.141027
=case          ejabberd_SUITE:time
=logfile       ejabberd_suite.time.1075.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:15
=result        ok
=elapsed       0.266748
=case          ejabberd_SUITE:stats
=logfile       ejabberd_suite.stats.1091.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.131164
=case          ejabberd_SUITE:disco
=logfile       ejabberd_suite.disco.1107.html
=started       2021-12-10 20:22:14
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.154537
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       3.0e-6
=group_time    1.681s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1651.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_auth_fail
=logfile       ejabberd_suite.test_auth_fail.html
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.017102
=case          ejabberd_SUITE:presence
=logfile       ejabberd_suite.presence.html
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.104661
=case          ejabberd_SUITE:s2s_dialback
=logfile       ejabberd_suite.s2s_dialback.html
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:16
=result        ok
=elapsed       0.228408
=case          ejabberd_SUITE:s2s_optional
=logfile       ejabberd_suite.s2s_optional.html
=started       2021-12-10 20:22:16
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.24095
=case          ejabberd_SUITE:s2s_required
=logfile       ejabberd_suite.s2s_required.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.144057
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2242.html
=group_props   [{name,presence_and_s2s},sequence]
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       3.0e-6
=group_time    0.951s
=case          ejabberd_SUITE:auth_external
=logfile       ejabberd_suite.auth_external.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.006241
=case          ejabberd_SUITE:auth_external_no_jid
=logfile       ejabberd_suite.auth_external_no_jid.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.010079
=case          ejabberd_SUITE:auth_external_no_user
=logfile       ejabberd_suite.auth_external_no_user.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.008084
=case          ejabberd_SUITE:auth_external_malformed_jid
=logfile       ejabberd_suite.auth_external_malformed_jid.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.005232
=case          ejabberd_SUITE:auth_external_wrong_jid
=logfile       ejabberd_suite.auth_external_wrong_jid.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.004945
=case          ejabberd_SUITE:auth_external_wrong_server
=logfile       ejabberd_suite.auth_external_wrong_server.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.005477
=case          ejabberd_SUITE:auth_external_invalid_cert
=logfile       ejabberd_suite.auth_external_invalid_cert.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.006345
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1891.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       4.0e-6
=case          ejabberd_SUITE:jidprep_feature_enabled
=logfile       ejabberd_suite.jidprep_feature_enabled.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:17
=result        ok
=elapsed       0.10295
=case          ejabberd_SUITE:jidprep_normalize_jid
=logfile       ejabberd_suite.jidprep_normalize_jid.html
=started       2021-12-10 20:22:17
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       0.107603
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.1923.html
=group_props   [{name,jidprep_single},sequence]
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       3.0e-6
=group_time    0.306s
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1939.html
=group_props   [{name,sm_single},sequence]
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:sm_feature_enabled
=logfile       ejabberd_suite.sm_feature_enabled.html
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       0.101285
=case          ejabberd_SUITE:sm_enable
=logfile       ejabberd_suite.sm_enable.html
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       0.0209
=case          ejabberd_SUITE:sm_resume
=logfile       ejabberd_suite.sm_resume.html
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:18
=result        ok
=elapsed       0.017942
=case          ejabberd_SUITE:sm_resume_failed
=logfile       ejabberd_suite.sm_resume_failed.html
=started       2021-12-10 20:22:18
=ended         2021-12-10 20:22:23
=result        ok
=elapsed       5.002341
=case          ejabberd_SUITE:end_per_group
=logfile       ejabberd_suite.end_per_group.2418.html
