=== Suite started at 2021-12-10 15:21:45
=== Starting test, 1586 test cases
=cases         1586
=user          runner
=host          ct-logs_3#9fd14b2
=hosts         ct-logs_3#9fd14b2 
=emulator_vsn  12.1.5
=emulator      beam
=otp_release   24
=started       2021-12-10 15:21:45
=case          ejabberd_SUITE:init_per_suite
=logfile       ejabberd_suite.init_per_suite.html
=started       2021-12-10 15:21:45
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       1.177695
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.html
=group_props   [{name,ldap},sequence]
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** SKIPPED {ejabberd_SUITE,init_per_group} ***
=== 
=case          ejabberd_SUITE:test_auth
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #1 {ejabberd_SUITE,test_auth} ***
=== 
=case          ejabberd_SUITE:test_auth_fail
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #2 {ejabberd_SUITE,test_auth_fail} ***
=== 
=case          ejabberd_SUITE:vcard_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #3 {ejabberd_SUITE,vcard_get} ***
=== 
=case          ejabberd_SUITE:ldap_shared_roster_get
=group_props   [{name,"ldap_tests"}]
=started       2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** Skipping test case #4 {ejabberd_SUITE,ldap_shared_roster_get} ***
=== 
=case          ejabberd_SUITE:end_per_group
=group_props   [{name,"ldap"}]
=started       2021-12-10 15:21:47
=result        skipped: {disabled_backend,ldap}
=== *** Skipping {ejabberd_SUITE,end_per_group} ***
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.1810.html
=group_props   [{name,no_db},sequence]
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       5.91e-4
=case          ejabberd_SUITE:init_per_group
=logfile       ejabberd_suite.init_per_group.435.html
=group_props   [{name,anonymous},parallel]
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       5.0e-6
=case          ejabberd_SUITE:test_connect_bad_xml
=logfile       ejabberd_suite.test_connect_bad_xml.451.html
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       0.265635
=case          ejabberd_SUITE:test_connect_unexpected_xml
=logfile       ejabberd_suite.test_connect_unexpected_xml.467.html
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       0.211353
=case          ejabberd_SUITE:test_connect_unknown_ns
=logfile       ejabberd_suite.test_connect_unknown_ns.483.html
=started       2021-12-10 15:21:47
=ended         2021-12-10 15:21:47
=result        ok
=elapsed       0.283394
=case          ejabberd_SUITE:test_connect_bad_xmlns
=logfile       ejabberd_suite.test_connect_bad_xmlns.499.html
